ID,Colore,Categoria,Domanda,A,B,C,Corretta,Battuta
#V011,verde,CIBI FURBI & CIBI TRAPPOLA,Il miele è vegano o le api dicono 'col cavolo'?,"Vegano al 100%, è naturale\!",Le api dicono 'sto vomito è nostro\!,Solo se bio e le api firmano il consenso,B,"BUCHETTO SHOCK:** ""È letteralmente vomito d'ape cristallizzato\! Buono eh, ma sempre vomito\! Mind \= blown\!"
#V012,verde,CIBI FURBI & CIBI TRAPPOLA,La margarina è sempre plant-based o ci fregano?,"Sempre vegetale, giuro\!",CI FREGANO\! Spesso c'è latte ninja nascosto\!,Solo se non c'è olio di palma,B,"BUCHETTO DETECTIVE:** ""Leggi l'etichetta o mangerai latticini ninja\! Sono più nascosti del Wurstel quando si traveste da cibo vero\!"
#V013,verde,CIBI FURBI & CIBI TRAPPOLA,Il vino è solo succo d'uva fermentato senza prodotti di origine animale?,"Solo uva, basta\!","Se non Bio o Veg potrebbe essere filtrato con budella di pesce, uova o gelatine di origine animale\!",Solo il rosso ha roba strana,B,"BUCHETTO BRINDA:** ""State bevendo pesce filtrato fratelli\! Cin cin con le interiora\! Il tuo culetto preferisce il vino vegano\!"
#V014,verde,CIBI FURBI & CIBI TRAPPOLA,Gli orsetti gommosi sono fatti di cosa? Spoiler: è disgustoso\!,Alghe marine carine,Ossa e pelle di maiale bollite\! BUON APPETITO\!,Amido di mais innocente,B,"L'ORSETTO CONFESSA:** ""Sono fatto di scarti di maiale bolliti\! Sono più Frankenstein che Haribo\! Buchetto vomita solo a pensarci\!"
#V015,verde,CIBI FURBI & CIBI TRAPPOLA,Il formaggio che grattuggi sulla pasta è vegetariano o c'è il trucco?,Vegetariano doc\!,TRUCCO\! C'è lo stomaco di baby mucca dentro\!,Solo quello senza lattosio è ok,B,"BUCHETTO NAUSEATO:** ""Stai mangiando enzimi di stomaco di baby mucca\! E poi dici che i vegani sono strani? CAPPERI\!"
#V016,verde,CIBI FURBI & CIBI TRAPPOLA,I cereali da colazione sono healthy o è una trappola?,"Super healthy, lo dice la scatola\!",TRAPPOLA\! 30% zucchero \= torta liquida\!,Solo quelli integrali salvano,B,"BUCHETTO SVEGLIO:** ""30% zucchero \= dessert travestito da colazione\! Il tuo culetto al mattino vuole fibre, non diabete\!"
#V017,verde,CIBI FURBI & CIBI TRAPPOLA,Le barrette proteiche sono meglio delle merendine?,"Ovvio, sono per sportivi\!",È solo una merendina che va in palestra\! Stesso zucchero\!,Solo quelle al cioccolato fanno schifo,B,"BUCHETTO SMONTA:** ""È solo una merendina che fa palestra\! 20g di zucchero con proteine\! Il tuo culetto non si fa fregare\!"
#V018,verde,CIBI FURBI & CIBI TRAPPOLA,Il succo di frutta \= frutta vera?,"Certo, è matematica\!","NO\! È una bibita travestita da salutista, la pastorizzazione uccide tutto\!",Solo se dice 100% vera frutta,B,"BUCHETTO REAL TALK:** ""È una bibita alla frutta senza le bollicine\! Zero fibre \= zero party nel tuo culetto\!"
#V019,verde,CIBI FURBI & CIBI TRAPPOLA,Il seitan ha proteine o è aria fritta?,Aria fritta proteica,"25g di proteine su 100g, BOOM\!",Solo se lo friggi diventa proteico,B,"BUCHETTO FESTEGGIA:** ""Zero colesterolo, zero antibiotici, zero sofferenza\! Il tuo culetto fa la ola\!"
#V020,verde,CIBI FURBI & CIBI TRAPPOLA,Il tofu ti fa crescere le tette anche se sei maschio?,"Sì, diventi una Barbie",FAKE NEWS del secolo\! Gli asiatici lo sanno da 3000 anni\!,Solo se ne mangi 10 kg al giorno,B,"LA SOIA RIDE:** ""3000 anni che mi mangiano in Asia e zero tette maschili\! Buchetto dice: è più probabile che ti crescano dal pollo agli ormoni\!"
#V021,verde,CIBI FURBI & CIBI TRAPPOLA,I legumi ti fanno scoreggiare come una tromba?,"No, è un mito","All'inizio sì, poi il tuo buchetto si abitua\!",Solo i fagioli neri sono letali,B,"RE FAGIOLINO FILOSOFEGGIA:** ""Le prime volte suoni la sinfonia del culetto\! Ma sono scoregge nobili che puliscono l'intestino\! Chi scoreggia, regna\!"
#V022,verde,CIBI FURBI & CIBI TRAPPOLA,Le patate sono verdure o ti stanno fregando?,Verdure al 100%,TI FREGANO\! Sono tuberi amidacei\! Considerale carboidrati,Solo quelle verdi sono verdure,B,"BUCHETTO SMONTA:** ""Contano come carboidrati, non come verdure\! È come dire che la pizza è insalata perché c'è il pomodoro\!"
#V023,verde,CIBI FURBI & CIBI TRAPPOLA,L'avocado è un superfood o una truffa hipster?,Superfood certificato dagli dei,È grasso buono ma non miracoloso\!,"Truffa totale, è solo burro verde",B,"BUCHETTO MILLENNIAL:** ""Costa come un rene ma almeno non intasa le arterie\! Il tuo culetto approva i grassi buoni\!"
#V024,verde,CIBI FURBI & CIBI TRAPPOLA,Il caffè disidrata o è una leggenda?,Ti secca come l'uva passa,Solo se ne bevi litri\! 1-2 tazze no problem\!,"Mai, anzi idrata il doppio",B,"BUCHETTO CAFFEINATO:** ""Due caffè ok, dieci caffè e fai la cacca a spruzzo\! Il tuo culetto ha dei limiti\!"
#V025,verde,CIBI FURBI & CIBI TRAPPOLA,Lo zucchero di canna è più sano di quello bianco?,"Ovvio, è marrone quindi naturale\!","STESSO SCHIFO, solo colore diverso\!","100 volte meglio, è medicina",B,"BUCHETTO TRUTH BOMB:** ""È zucchero con l'abbronzatura\! Stesso danno, prezzo doppio\! Marketing del cavolo\!"
#V026,verde,CIBI FURBI & CIBI TRAPPOLA,Il sale rosa dell'Himalaya ha superpoteri?,"Cura tutto, anche la stupidità","È sale con minerali traccia, niente magia\!",Ti allunga la vita di 10 anni,B,"BUCHETTO SMASCHERA:** ""Costa 20 volte il sale normale per lo 0,1% di minerali in più\! Il tuo culetto non nota la differenza\!"
#V027,verde,CIBI FURBI & CIBI TRAPPOLA,I superfood esistono davvero?,"Sì, sono certificati dalla NASA",Marketing\! Nessun cibo è super da solo\!,Solo le bacche di goji sono vere,B,"BUCHETTO REALISTA:** ""È come dire che Superman esiste\! Mangia vario invece di cercare la pillola magica\!"
#V028,verde,CIBI FURBI & CIBI TRAPPOLA,Il digiuno intermittente è geniale o pericoloso?,"Geniale, risolve tutto",Può funzionare ma non per tutti\!,Ti uccide in 3 giorni,B,"BUCHETTO SAGGIO:** ""Il tuo culetto vuole regolarità\! Se funziona ok, ma non è la risposta universale\!"
#V029,verde,CIBI FURBI & CIBI TRAPPOLA,Le proteine in polvere sono necessarie?,Senza muori in palestra,Solo se non mangi abbastanza cibo vero\!,Sono dopanti legali,B,"BUCHETTO FIT:** ""Prima mangia fagioli e tofu\! Le polveri sono per chi ha fretta o soldi da buttare\!"
#V030,verde,CIBI FURBI & CIBI TRAPPOLA,Il biologico è sempre meglio?,"Sempre, senza eccezioni","Spesso sì, ma non è magico\!",È una truffa totale,B,"BUCHETTO EQUILIBRATO:** ""Meno pesticidi \= buchetto felice\! Ma una mela bio con la muffa non è meglio di una normale\!"
#V031,verde,CIBI FURBI & CIBI TRAPPOLA,Il microonde distrugge i nutrienti?,Li polverizza tutti,Meno della cottura normale\!,Li moltiplica per due,B,"BUCHETTO SCIENCE:** ""Cucina veloce \= meno tempo per distruggere vitamine\! Il tuo culetto approva\!"
#V032,verde,CIBI FURBI & CIBI TRAPPOLA,Bisogna bere 2 litri d'acqua al giorno per forza?,Sì o muori disidratato,"Dipende da peso, attività, clima\!","No, basta mezzo litro",B,"BUCHETTO IDRATATO:** ""Guarda la tua pipì\! Gialla chiara \= ok, gialla scura \= bevi, trasparente \= stai esagerando\!"
#V033,verde,CIBI FURBI & CIBI TRAPPOLA,Il cioccolato fondente fa bene?,È medicina pura,Solo se è fondente 70%+ E VEGAN\!,Fa sempre male,B,"BUCHETTO GOLOSO:** ""Fondente vegan sopra il 70% \= antiossidanti da paura\! Ma occhio: se c'è latte dentro stai finanziando la sofferenza delle mucche. Un quadratino di quello buono sì, la tavoletta intera e il tuo buchetto piange\! Moderazione è la parola magica... e compassione pure\!"
#V034,verde,CIBI FURBI & CIBI TRAPPOLA,La pasta fa ingrassare?,"Sempre, è il demonio",No se controlli porzioni e condimenti\!,"Mai, puoi mangiarne chili",B,"BUCHETTO ITALIANO:** ""100g con pomodoro \= ok\! 300g con panna e pancetta \= buchetto in difficoltà\!"
#V035,verde,CIBI FURBI & CIBI TRAPPOLA,Il burro di arachidi è sano?,"No, è grasso puro","Quello 100% arachidi sì, quello con zucchero no\!",Sempre sanissimo,B,"BUCHETTO DETECTIVE:** ""Leggi l'etichetta\! Se c'è più roba oltre alle arachidi, stacci lontano\!"
#V036,verde,CIBI FURBI & CIBI TRAPPOLA,Le bevande zero calorie sono innocue?,Totalmente safe,Meglio dell'originale ma non sono acqua\!,Ti uccidono all'istante,B,"BUCHETTO WARN:** ""Ingannano il cervello e il buchetto\! Meglio acqua con limone che chimica liquida\!"
#V037,verde,CIBI FURBI & CIBI TRAPPOLA,Il sushi è sempre healthy?,"Sempre, è giapponese\!",Solo quello vegan\!,"Mai, il pesce crudo uccide",B,"BUCHETTO SENSEI:** ""Il sushi all-you-can-eat? Più processato di una foto di un influencer\! Microplastiche, antibiotici, metalli pesanti... Il sushi vegan con avocado? Quello sì che è amore per il tuo buchetto\! Sayonara alle sofferenze\!"
#V038,verde,CIBI FURBI & CIBI TRAPPOLA,Il pane integrale del supermercato è vero integrale?,"Sempre, lo dice l'etichetta",Spesso è farina bianca con crusca aggiunta\!,È più integrale del normale,B,"BUCHETTO SHERLOCK:** ""Se il primo ingrediente non è 'farina integrale', ti stanno fregando\! Colorato di marrone non significa sano\!"
#V039,verde,CIBI FURBI & CIBI TRAPPOLA,I dolcificanti artificiali sono meglio dello zucchero?,100 volte meglio,Controversi\! Meglio ridurre il dolce in generale\!,Sono veleno puro,B,"BUCHETTO FILOSOFO:** ""Inganni il palato ma non il cervello\! Il tuo culetto preferisce meno dolce che finto dolce\!"
#V040,verde,CIBI FURBI & CIBI TRAPPOLA,Le chips di verdure sono sane?,"Super sane, sono verdure\!","FRITTE \= FRITTE, anche se sono carote\!",Più sane delle patatine normali,B,"BUCHETTO SMONTA ILLUSIONI:** ""Una zucchina fritta non diventa healthy solo perché era una zucchina\! Il tuo buchetto non è scemo\!"
#B029,blu,IL PIANETA NEL PIATTO,Una mucca scoreggia gas serra come quante auto?,Mezza Smart,Come un SUV che fa 10.000 km/anno\!,Come 10 Ferrari a palla,B,"BUCHETTO ECO-WARRIOR:** ""Le scoregge bovine stanno friggendo il pianeta\! Meglio le scoregge di Re Fagiolino che sono carbon neutral\!"
#B028,blu,IL PIANETA NEL PIATTO,Quanta acqua serve per produrre 1 kg di manzo?,"100 litri, una vascata",15.000 LITRI\! Potresti farci 100 docce\!,50 litri max,B,"BUCHETTO SHOCK:** ""Con l'acqua di una bistecca ci fai la doccia per 3 mesi\! Perché? Semplice: devi irrigare i campi per i cereali che mangia la mucca, darle da bere, lavare le sue deiezioni, pulire i macchinari, trasportare tutto... È una catena di spreco ASSURDA\! Per 1 kg di cereali servono solo 1000 litri. Il pianeta e il tuo buchetto piangono insieme\!"
#B027,blu,IL PIANETA NEL PIATTO,L'allevamento intensivo occupa quanta terra agricola?,"10%, pochino",77%\! Quasi TUTTO\!,"30%, giusto un po",B,"BUCHETTO MAPPATONE:** ""Le mucche hanno più terra di noi\! È come se i Pokemon occupassero tutto il mondo\!"
#B026,blu,IL PIANETA NEL PIATTO,Quanta foresta amazzonica diventa pascolo ogni minuto?,Un campo da tennis,3 campi da calcio\!,Un tavolino da ping pong,B,"BUCHETTO APOCALITTICO:** ""Mentre fai la cacca, sparisce una foresta\! La tua bistecca sta mangiando il polmone del mondo\!"
#B021,blu,IL PIANETA NEL PIATTO,Il trasporto del cibo inquina più della produzione?,"Sì, sempre",NO\! La produzione inquina molto di più\!,Sono uguali,B,"BUCHETTO SVELA:** ""Un avocado dal Messico inquina meno di una bistecca del contadino sotto casa\! Mind \= blown\!"
#B024,blu,IL PIANETA NEL PIATTO,Quanta plastica c'è nel pesce che mangi?,"Zero, il mare la filtra",Microplastiche in 1 pesce su 3\!,Solo nei pesci cinesi,B,"IL TONNO PLASTICOSO:** ""Sono più plastica che pesce\! Sono un action figure commestibile\! Buchetto preferisce i legumi\!"
#B023,blu,IL PIANETA NEL PIATTO,Quanto cibo buttiamo nel mondo?,"5%, pochissimo",1/3 DI TUTTO\! Un'apocalisse di spreco\!,"10%, accettabile",B,"BUCHETTO PIANGE:** ""Mentre la gente muore di fame, buttiamo cibo per sfamare 3 miliardi di persone\! Il mio culetto è indignato\!"
#B030,blu,IL PIANETA NEL PIATTO,Le api stanno sparendo. Quanto cibo dipende da loro?,"5%, solo il miele",35% di tutto il cibo mondiale\!,"80%, moriamo tutti",B,"L'APE MAYA URLA:** ""Senza di noi, addio frutta e verdura\! Noi impollinamo i fiori che diventano frutti\! Mele, pomodori, zucchine, caffè, cioccolato... tutto sparisce\! Restano solo grano e mais. Il vostro buchetto mangerà cereali e tristezza\! Pesticidi e monocolture ci stanno ammazzando\!"
#B022,blu,IL PIANETA NEL PIATTO,Un hamburger equivale a quante docce in acqua?,2 docce velocissime,50-60 DOCCE\! Due mesi di igiene\!,Mezza doccia,B,"BUCHETTO CALCULATOR:** ""Un panino \= 2 mesi senza lavarsi il culetto\! Che schifo, fra\!"
#B025,blu,IL PIANETA NEL PIATTO,Quanto metano produce una mucca al giorno?,Un peto ogni tanto,250-500 LITRI\! Una bomba ambulante\!,"Zero, è fake news",B,"BUCHETTO GASSOSO:** ""Ogni mucca è una centrale a metano\! Re Fagiolino in confronto è un dilettante\!"
#A001,arancione,CULTURA DEL CIBO,"Chi ha inventato il vegetarianismo, gli hippy degli anni '60?","Sì, pace e amore fratello",NO\! Pitagora 2500 anni fa\! Il primo nerd veggie\!,Steve Jobs nel garage,B,"BUCHETTO STORICO:** ""Pitagora faceva teoremi E salvava animali\! Un genio con il cuore e il culetto pulito\!"
#A002,arancione,CULTURA DEL CIBO,In India quanta gente è vegetariana?,"5%, quattro gatti",40%\! Mezzo miliardo di persone\!,"100%, mangiano solo curry",B,"BUCHETTO MONDIALE:** ""500 milioni di indiani con la cacca perfetta\! Loro l'hanno capito da secoli\!"
#A003,arancione,CULTURA DEL CIBO,Chi ha inventato il ketchup?,I cowboy del Texas,I monaci cinesi,I chimici della nasa per gli astronauti negli anni 60,B,"BUCHETTO:** ""Era una salsa fermentata di pesce… io l’ho assaggiata una volta…Mi è esploso il buchetto\!"
#A004,arancione,CULTURA DEL CIBO,I gladiatori romani mangiavano bistecche o erano veggie?,Solo carne di leone,ORZO E FAGIOLI\! Erano chiamati 'hordearii' (mangiatori d'orzo)\!,Pizza e carbonara,B,"BUCHETTO GLADIATORE:** ""I guerrieri più tosti della storia mangiavano come Re Fagiolino\! SPQR \= Solo Peti (In) Questa Roma\!"
#A005,arancione,CULTURA DEL CIBO,Quando arriva il pomodoro in Italia?,Con Giulio Cesare,Nel 1500 dalle Americhe\!,L'ha sempre avuto,B,"BUCHETTO SHOCK:** ""Prima del 1500 l’italianità non era quella che conosciamo oggi\!"
#A006,arancione,CULTURA DEL CIBO,"Le patatine fritte sono francesi, belghe o...",Francesi al 100%,BELGHE\! I francesi sono impostori\!,Americane ovvio,B,"BUCHETTO DETECTIVE:** ""French fries \= Belgian fries\! La più grande truffa culinaria della storia\!"
#A007,arancione,CULTURA DEL CIBO,Il caffè viene dall'Italia vero? VERO?\!,"Ovvio, l'espresso è nostro","FALSO\! Dall'Etiopia, poi Yemen, poi Turchia, POI Italia\!",Da Starbucks,B,"BUCHETTO CAFFEINA:** ""L'Italia l'ha solo perfezionato\! Manco cresce da noi il caffè\!"
#A008,arancione,CULTURA DEL CIBO,Il sushi esiste da quanto? 10 anni?,Dal 2010 con Instagram,Dal SECOLO VIII\! 1200 anni fa\!,Anni '80 in California,B,"BUCHETTO SAMURAI:** ""Quando l’Europa mangiava porridge triste, il Giappone già rollava riso e alghe\! Ma oggi, col sushi al salmone intensivo, si rolla pure il pianeta nel cesso. Meglio quello vegano, e il mio buchetto ringrazia. Hai capito, wasabi?"
#A009,arancione,CULTURA DEL CIBO,La pasta viene dalla Cina o è propaganda?,"Fake news, è italiana DOC",Marco Polo probailmente l'ha copiata\!,L'hanno inventata gli alieni,B,"BUCHETTO CONTROVERSO:** ""I noodles esistevano prima degli spaghetti\!"
#A010,arancione,CULTURA DEL CIBO,"I Maya cosa coltivavano? Mais, fagioli e...?",Hamburger,ZUCCHE\! La trinità sacra\!,Avocado toast,B,"BUCHETTO AZTECO:** ""Le tre sorelle dell'agricoltura\! Zero mucche, 100% fibra, impero di 15 milioni\! Coincidenze?"
#A011,arancione,CULTURA DEL CIBO,Il cioccolato era una bevanda sacra per chi?,Per i preti italiani,Per gli AZTECHI\! Bevanda degli dei\!,Per la Regina Elisabetta,B,"BUCHETTO DIVINO:** ""Lo bevevano con peperoncino\! Il culetto azteco era on fire literally\!"
#A012,arancione,CULTURA DEL CIBO,Leonardo da Vinci mangiava carne?,Solo bistecche fiorentine,NO\! Era vegetariano e comprava uccelli per liberarli\!,Solo pesce il venerdì,B,"BUCHETTO GENIO:** ""Il più grande genio della storia non mangiava animali\! Coincidenza? Il culetto pensa di no\!"
#A013,arancione,CULTURA DEL CIBO,Einstein era vegetariano?,"Mai, amava il prosciutto",SÌ\! Negli ultimi anni disse che era il futuro\!,Solo di lunedì,B,"BUCHETTO RELATIVITY:** ""E=MC² \= Energia \= Mangia Cibo Vegetale²\! La fisica del culetto perfetto\!"
#A014,arancione,CULTURA DEL CIBO,Il Buddha che dieta seguiva?,Digiuno totale,Vegetariana con compassione\!,Keto prima che fosse cool,B,"BUCHETTO ZEN:** ""L'illuminazione passa per un culetto pulito\! Ohmmm significa 'Oh Mamma Mia che cacca perfetta\!"
#A015,arancione,CULTURA DEL CIBO,Il sale era prezioso come l'oro dove?,Mai da nessuna parte,Nell'antica Roma\! Da lì viene il termine 'salario'\!,Solo su Marte,B,"BUCHETTO ETIMOLOGO:** ""Ti pagavano in sale\! Oggi ti lamenti dello stipendio, pensa se ti pagassero in dado vegetale\!"
#A016,arancione,CULTURA DEL CIBO,La forchetta arriva in Europa quando?,Preistoria fatta con ossa di bue lavorate,MEDIOEVO dalla Bizantina\! Prima mangiavano con le mani\!,L'ha inventata Ikea,B,"BUCHETTO MEDIEVAL:** ""Per secoli hanno mangiato con le mani\! Il culetto medievale era disgustato\!"
#A017,arancione,CULTURA DEL CIBO,Il primo ristorante vegetariano apre dove?,San Francisco 1969,SVIZZERA nel 1898\!,Los Angeles 2010,B,"BUCHETTO PIONIERE:** ""Gli svizzeri facevano già il veggie mentre gli altri mangiavano lardo\! Precisione anche nel culetto\!"
#A018,arancione,CULTURA DEL CIBO,I Nativi Americani coltivavano quante varietà di patate?,2: bianche e rosse,OLTRE 3000\! Un'empire di patate\!,"Zero, le importavano",B,"BUCHETTO PATATA:** ""3000 tipi di patate \= 3000 modi di fare la cacca perfetta\! Biodiversità del culetto\!"
#A019,arancione,CULTURA DEL CIBO,Il ketchup nasce come medicina per cosa?,Per la diarrea,Per TUTTO\! Era venduto come cura universale nel 1800\!,Per far mangiare le verdure ai bimbi,B,"BUCHETTO MEDICINE:** ""Dr. Ketchup's Magic Potion\! Il tuo culetto rideva mentre la gente ci credeva\!"
#A020,arancione,CULTURA DEL CIBO,Le carote erano arancioni dall'inizio?,"Sempre, è naturale","NO\! Erano viola/bianche, gli olandesi le fecero arancioni\!",Erano blu fluo,B,"BUCHETTO COLOR:** ""Le fecero arancioni per la casa reale Orange\! Marketing medievale per il culetto reale\!"
#A021,arancione,CULTURA DEL CIBO,Il peperoncino più piccante del mondo può ucciderti?,"No, è solo piccante",Il Carolina Reaper può mandarti in ospedale\!,Ti trasforma in drago,B,"BUCHETTO ON FIRE:** ""2.2 milioni di Scoville\! Il tuo culetto diventa un lanciafiamme\! Re Fagiolino scappa terrorizzato\!"
#A022,arancione,CULTURA DEL CIBO,Il wasabi che mangi è vero wasabi?,"Sempre, è sacro",NO\! È rafano colorato nel 95% dei casi\!,È fatto di lacrime,B,"BUCHETTO FAKE:** ""Il vero wasabi costa come l'oro\! Stai mangiando rafano verde\! Il tuo culetto è stato truffato\!"
#A023,arancione,CULTURA DEL CIBO,Le più iconiche creme spalmabili alla nocciola contengono quante nocciole?,"80%, è praticamente burro di nocciole",Solo 13%\! Il resto è zucchero e olio\!,100% nocciole magiche,B,"BUCHETTO SHOCK:** ""È crema di zucchero con guest appearance delle nocciole\! Il culetto piange cioccolato\!"
#A024,arancione,CULTURA DEL CIBO,Il pane in cassetta dura settimane perché?,Magia nera,CONSERVANTI e additivi a manetta\!,È fatto di plastica,B,"BUCHETTO CHIMICO:** ""E471, E472, E481... È la tavola periodica\! Il tuo culetto preferisce il pane vero\!"
#A025,arancione,CULTURA DEL CIBO,La Coca Cola cosa aveva dentro all'inizio della sua storia?,Solo zucchero e bollicine,COCAINA\! Era energy drink estremo\!,Sangue di unicorno,B,"BUCHETTO VINTAGE:** ""Coca \= Cocaina, Cola \= Noci di cola\! Il culetto dell'800 era molto allegro\!"
#A026,arancione,CULTURA DEL CIBO,I corn flakes furono inventati per...,Colazione dei campioni,FERMARE LA MASTURBAZIONE\! Kellogg era ossessionato\!,Nutrire gli astronauti,B,"BUCHETTO IMBARAZZATO:** ""Pensava che il cibo bland fermasse le voglie\! Il culetto vittoriano era molto confuso\!"
#A027,arancione,CULTURA DEL CIBO,Il MSG (glutammato) è davvero tossico?,Ti frigge il cervello,"NO\! È sicuro, solo razzismo anti-asiatico\!",Solo per gli alieni,B,"BUCHETTO SCIENCE:** ""È nell'umami naturale\! Il pomodoro ne è pieno\! Il tuo culetto è stato ingannato dal razzismo\!"
#A028,arancione,CULTURA DEL CIBO,L'ananas sulla pizza è crimine in Italia?,Pena di morte,"NO\! È solo drama, in realtà alcuni la mangiano\!",10 anni di carcere,B,"BUCHETTO CONTROVERSIAL:** ""Il Canada l'ha inventata\! Il culetto italiano finge indignazione ma secretly alcuni approvano\!"
#A029,arancione,CULTURA DEL CIBO,Il croissant è francese?,Oui oui baguette,NO\! È austriaco (kipferl)\!,È americano,B,"BUCHETTO PLOT TWIST:** ""I francesi l'hanno rubato\! Come le patatine fritte\! Il culetto francese è full of lies\!"
#A030,arancione,CULTURA DEL CIBO,Il tiramisù esiste da...,"Sempre, ricetta della nonna",Solo dagli anni '60-'70\! È recentissimo\!,Dal Rinascimento,B,"BUCHETTO PASTICCERE:** ""È più giovane dei tuoi genitori\! Peccato che la versione classica sia piena di uova e latticini…Ma col tiramisù vegano, il mio buchetto dice: YUM e non UMH"
#A031,arancione,CULTURA DEL CIBO,I pop corn li mangiavano già...,Al cinema nel 1950,I NATIVI AMERICANI 5000 anni fa\!,Nel medioevo,B,"BUCHETTO ANCIENT:** ""Facevano pop corn quando le piramidi erano in costruzione\! Il culetto preistorico già sgranocchiava\!"
#A032,arancione,CULTURA DEL CIBO,La margarina fu inventata per...,Vegani ante-litteram,NAPOLEONE III per nutrire l'esercito in modo cheap\!,Nutrire i faraoni in Egitto che non avevano mucche,B,"BUCHETTO GUERRA:** ""Burro dei poveri per soldati\! Il culetto militare doveva accontentarsi\!"
#A033,arancione,CULTURA DEL CIBO,Il ghiaccio nel drink era lusso fino a...,Mai stato lusso,FINE 1800\! Prima solo per ricchissimi\!,Ancora oggi è lusso,B,"BUCHETTO COOL:** ""Il ghiaccio costava più del whisky\! Il culetto ricco beveva freddo, quello povero tiepido\!"
#A034,arancione,CULTURA DEL CIBO,La banana che mangiamo è...,Naturale al 100%,"UN CLONE\! Tutte identiche, varietà Cavendish\!",OGM spaziale,B,"BUCHETTO BANANA:** ""Ogni banana è il clone della stessa pianta\! Attack of the Clone Bananas nel tuo culetto\!"
#A035,arancione,CULTURA DEL CIBO,Il cibo in scatola esiste da...,Seconda guerra mondiale,NAPOLEONE\! 1810 per le sue guerre\!,l’invenzione della scatola nel medioevo,B,"BUCHETTO LATTINA:** ""Napoleone voleva conquistare il mondo con fagioli in scatola\! Il culetto imperiale era pragmatico\!"
#A036,arancione,CULTURA DEL CIBO,Il primo fast food drive-through?,McDonald's 1975,In-N-Out Burger 1948\!,Burger King 1980,B,"BUCHETTO DRIVE:** ""Già nel ’48 il culetto americano voleva mangiare carne SENZA scendere dall’auto.Risultato? Fast food, slow digestione e cacca triste\!"
#A037,arancione,CULTURA DEL CIBO,Il kimchi coreano fermentato fa cosa?,Puzza e basta,PROBIOTICI\! Super good health\!,Ti trasforma in K-pop star,B,"BUCHETTO FERMENTATO:** ""I coreani hanno il culetto più sano del mondo\! Kimchi power per la cacca perfetta\!"
#A038,arancione,CULTURA DEL CIBO,La tempura giapponese viene da...,Antica tradizione samurai,DAI PORTOGHESI nel 1600\!,Anime e manga,B,"BUCHETTO FUSION:** ""I portoghesi insegnarono ai giapponesi a friggere\! Il culetto nipponico ringrazia/maledice\!"
#A039,arancione,CULTURA DEL CIBO,Il food porn su Instagram causa...,Felicità pura,PIÙ FAME e voglia di junk food\!,Illuminazione spirituale,B,"BUCHETTO SOCIAL:** ""Guardare cibo perfetto \= cervello ingannato \= culetto che mangia schifezze\! Maledetti social\!"
#A040,arancione,CULTURA DEL CIBO,Il cibo del futuro secondo l'ONU?,Pillole come i Jetson,INSETTI\! Grilli e larve per le proteine\!,Solo aria e sole,B,"BUCHETTO FUTURO:** ""2 miliardi di persone già mangiano insetti\! Il tuo culetto occidentale deve adattarsi o mangiare fagioli\!"
#N001,viola,ANATOMIA A TAVOLA,Quanto è lungo il tuo intestino?,"1 metro, cortino",7-8 METRI\! Come un autobus\!,"100 metri, una pista d'atletica",B,"BUCHETTO METRO:** ""Otto metri di tubo\! Io sono alla fine di un tunnel lunghissimo\!"
#N002,viola,ANATOMIA A TAVOLA,Quanti batteri vivono nel tuo intestino?,"100, pochi amici",100 TRILIONI\! Più delle stelle nella galassia\!,"Zero, è sterile",B,"BUCHETTO GALATTICO:** ""Sei più batterio che umano\! Il tuo culetto è un universo parallelo di microbi\!"
#N003,viola,ANATOMIA A TAVOLA,Il tuo stomaco può contenere quanto?,Un bicchiere d'acqua,1-2 LITRI\! Come una bottiglia grande d’acqua\!,"10 litri, sei un cammello",B,"BUCHETTO CAPIENZA:** ""Due litri di spazio e tu ci metti 3 kg di pasta\! Poi il culetto soffre le conseguenze\!"
#N004,viola,ANATOMIA A TAVOLA,L'acido dello stomaco può sciogliere...,Solo verdure,"METALLO\! pH 1-2, come l'acido delle batterie\!","Niente, è debolino",B,"BUCHETTO ALIEN:** ""Hai l'acido di Alien nella pancia\! Per fortuna il muco protegge o ti autodigeriresti\! Buchetto è terrorizzato\!"
#N005,viola,ANATOMIA A TAVOLA,Il fegato si rigenera?,"Mai, se lo rompi sei finito",SÌ\! Puoi perderne il 75% e ricresce\!,Solo se bevi succo detox,B,"MONSIEUR FEGATÒ:** ""Sono immortale come Wolverine\! Ma se mi riempi di alcol, je suis fucked\! Voilà\!"
#N006,viola,ANATOMIA A TAVOLA,Produci quanta saliva al giorno?,Un cucchiaio,1-2 LITRI\! Una bottiglia intera\!,Un secchio da 10 litri,B,"BUCHETTO SPLASH:** ""Ingoi una bottiglia di sputo al giorno\! Buon appetito\!"
#N007,viola,ANATOMIA A TAVOLA,Il tuo cervello usa quanta energia del cibo?,"2%, quasi niente",20%\! Un quinto di tutto\!,"90%, sei tutto cervello",B,"BUCHETTO EINSTEIN:** ""Il cervello è un vampiro energetico\! Mangia male \= pensi male \= fai la cacca male\!"
#N008,viola,ANATOMIA A TAVOLA,Quante volte al giorno dovrebbe 'cantare' il tuo buchetto?,"Mai, trattenere sempre",14-23 VOLTE\! È normale e sano\!,"100 volte, sei una tromba",B,"RE FAGIOLINO APPROVA:** ""Chi non scoreggia è malato o mente\! Il culetto deve esprimersi\! È arte\!"
